,Time,Username,Tweet,Clean Tweet,Stemmed Tweet,Lemmatized Tweet,Tagged Tweets,sentiment
0,2022-11-07 05:07:36,DepaulSocial,"How To Start A Shopify Store And Run It Successfully: A Shopify Starti̔ng Guide 👍

👉https://t.co/9uOGZSX67j

#kwasikwarteng #liztruss #africanledenergy #bye #sneakdeepsecret #ww1 #blacklivesmatter #invalidecho https://t.co/oAUfHeSChe",start shopify store run successfully shopify starting guide kwasikwarteng liztruss africanledenergy bye sneakdeepsecret ww blacklivesmatter invalidecho,start shopifi store run success shopifi start guid kwasikwarteng liztruss africanledenergi bye sneakdeepsecret ww blacklivesmatt invalidecho,start shopify store run successfully shopify starting guide kwasikwarteng liztruss africanledenergy bye sneakdeepsecret ww blacklivesmatter invalidecho,start_NN shopify_VB store_NN run_NN successfully_RB shopify_VB starting_VBG guide_JJ kwasikwarteng_NN liztruss_NN africanledenergy_NN bye_NN sneakdeepsecret_JJ ww_NN blacklivesmatter_NN invalidecho_NN,1
1,2022-11-07 05:04:44,ebethmiller2016,Listen fuck twitter bc of evilon owning it but we have to be vocal about this! I hope for peace and justice for the victim and a big ol’ reality check for miss girl #BlackLivesMatter  #UniversityofKentucky #DoBetter https://t.co/3DNNmYrT2G,listen fuck twitter bc evilon owning vocal hope peace justice victim big ol ' reality check miss girl blacklivesmatter universityofkentucky dobetter,listen fuck twitter bc evilon own vocal hope peac justic victim big ol ' realiti check miss girl blacklivesmatt universityofkentucki dobett,listen fuck twitter bc evilon owning vocal hope peace justice victim big ol ' reality check miss girl blacklivesmatter universityofkentucky dobetter,listen_JJ fuck_JJ twitter_NN bc_NN evilon_NN owning_VBG vocal_JJ hope_NN peace_NN justice_NN victim_NN big_JJ ol_NN '_POS reality_NN check_NN miss_VBP girl_NN blacklivesmatter_NN universityofkentucky_JJ dobetter_NN,0
2,2022-11-07 05:03:43,Esyeonby,I don’t think they gone let him come back so he don’t tell the story …. why is the mainstream media‘s not talking about this ? 🤔🤔 #BlackLivesMatter #BlM where are you https://t.co/RDwykqYiZL,think gone let come back tell story mainstream media 's talking blacklivesmatter blm,think gone let come back tell stori mainstream media 's talk blacklivesmatt blm,think gone let come back tell story mainstream medium 's talking blacklivesmatter blm,think_VB gone_VBN let_JJ come_VB back_RB tell_JJ story_NN mainstream_JJ media_NNS 's_POS talking_VBG blacklivesmatter_NN blm_NN,0
3,2022-11-07 05:03:11,sevynelevenn,#BlackLivesMatter https://t.co/57Aq8ZmWlU,blacklivesmatter,blacklivesmatt,blacklivesmatter,blacklivesmatter_NN,1
4,2022-11-07 05:01:51,COMA387Group3,Why does Google discriminate porn by supporting BlackLivesMatter?,google discriminate porn supporting blacklivesmatter,googl discrimin porn support blacklivesmatt,google discriminate porn supporting blacklivesmatter,google_NN discriminate_NN porn_NN supporting_VBG blacklivesmatter_NN,0
5,2022-11-07 05:01:00,marktsneed,The very fact of being human panics us into the most grotesque play-acting imaginable; and we deal in absurdities to keep life from being a total waste... - Hal Bennett #MondayThoughts #MondayMotivation #WritingCommunity #amwritingfiction #writersoftwitter #BlackLivesMatter https://t.co/Y13hSECdO2,fact human panics us grotesque playacting imaginable deal absurdities keep life total waste hal bennett mondaythoughts mondaymotivation writingcommunity amwritingfiction writersoftwitter blacklivesmatter,fact human panic us grotesqu playact imagin deal absurd keep life total wast hal bennett mondaythought mondaymotiv writingcommun amwritingfict writersoftwitt blacklivesmatt,fact human panic u grotesque playacting imaginable deal absurdity keep life total waste hal bennett mondaythoughts mondaymotivation writingcommunity amwritingfiction writersoftwitter blacklivesmatter,fact_NN human_JJ panics_NNS us_PRP grotesque_VBP playacting_VBG imaginable_JJ deal_NN absurdities_NNS keep_VBP life_NN total_JJ waste_NN hal_NN bennett_NN mondaythoughts_NNS mondaymotivation_NN writingcommunity_NN amwritingfiction_NN writersoftwitter_NN blacklivesmatter_NN,0
6,2022-11-07 05:00:01,OldMainBell,DING. ding ding. ding! ding ding... ding ding! Ding ding Ding^ ding* #PennState #BlackLivesMatter #JusticeForAll,ding ding ding ding ding ding ding ding ding ding ding ding pennstate blacklivesmatter justiceforall,ding ding ding ding ding ding ding ding ding ding ding ding pennstat blacklivesmatt justiceforal,ding ding ding ding ding ding ding ding ding ding ding ding pennstate blacklivesmatter justiceforall,ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG pennstate_JJ blacklivesmatter_NN justiceforall_NN,1
7,2022-11-07 04:53:02,JohnnyPlants,@IamTaraFelicia @Breakingtrends1 @Dillards I am so glad to read this. Get ‘em mama bear!! #BlackLivesMatter,iamtarafelicia breakingtrends dillards glad read get 'em mama bear blacklivesmatter,iamtarafelicia breakingtrend dillard glad read get 'em mama bear blacklivesmatt,iamtarafelicia breakingtrends dillards glad read get 'em mama bear blacklivesmatter,iamtarafelicia_JJ breakingtrends_NNS dillards_NNS glad_VBP read_JJ get_VBP 'em_JJ mama_NN bear_NN blacklivesmatter_NN,1
8,2022-11-07 04:52:39,themialifee,"Truth hurts ❕❕❕❕
#WhitePrivilege #JewishPrivilege #America #BlackLivesMatter ✊🏾 https://t.co/1d409JgXP3",truth hurts whiteprivilege jewishprivilege america blacklivesmatter,truth hurt whiteprivileg jewishprivileg america blacklivesmatt,truth hurt whiteprivilege jewishprivilege america blacklivesmatter,truth_NN hurts_VBZ whiteprivilege_WP jewishprivilege_NN america_NN blacklivesmatter_NN,0
9,2022-11-07 04:45:59,BotDefund,Defund the #HawleyPolice #BlackLivesMatter,defund hawleypolice blacklivesmatter,defund hawleypolic blacklivesmatt,defund hawleypolice blacklivesmatter,defund_NN hawleypolice_NN blacklivesmatter_NN,0
10,2022-11-07 04:41:46,penndragonArt,"I gotta agree Madam @Liz_Cheney #getOutNvote #VoteBlueForDemocracy #VoteBlueToProtectYourRights #justVote #Research #Vote
#Midterms #MidtermElections #Women #LGBTQ+ #BlackLivesMatter #Hispanic #elderly #Veterans
Pls #UniteForDemocracy #YouMatter #WeMatter #TheResistance
👇💙🇺🇸💙 https://t.co/0VXCISjc2U",got ta agree madam lizcheney getoutnvote votebluefordemocracy votebluetoprotectyourrights justvote research vote midterms midtermelections women lgbtq blacklivesmatterhispanic elderly veterans pls unitefordemocracy youmatter wematter theresistance,got ta agre madam lizcheney getoutnvot votebluefordemocraci votebluetoprotectyourright justvot research vote midterm midtermelect women lgbtq blacklivesmatterhispan elderli veteran pl unitefordemocraci youmatt wematt theresist,got ta agree madam lizcheney getoutnvote votebluefordemocracy votebluetoprotectyourrights justvote research vote midterm midtermelections woman lgbtq blacklivesmatterhispanic elderly veteran pls unitefordemocracy youmatter wematter theresistance,got_VBD ta_JJ agree_JJ madam_NN lizcheney_NN getoutnvote_NN votebluefordemocracy_NN votebluetoprotectyourrights_NNS justvote_VBP research_NN vote_NN midterms_NNS midtermelections_NNS women_NNS lgbtq_VBP blacklivesmatterhispanic_JJ elderly_JJ veterans_NNS pls_VBP unitefordemocracy_JJ youmatter_RB wematter_NN theresistance_NN,1
11,2022-11-07 04:40:56,Sam52160989,Anthony Ashford   #SayTheirNames #BlackLivesMatter,anthony ashford saytheirnames blacklivesmatter,anthoni ashford saytheirnam blacklivesmatt,anthony ashford saytheirnames blacklivesmatter,anthony_NN ashford_NN saytheirnames_VBZ blacklivesmatter_NN,1
12,2022-11-07 04:37:10,penndragonArt,"We can hope for a sweep #nevada #getOutNvote #VoteBlueForDemocracy #VoteBlueToProtectYourRights #govenorsMatter
#justVote pls #Vote
#Midterms #MidtermElections #Women #LGBTQ+ #BlackLivesMatter #Hispanic #elderly #Veterans #YouMatter #WeMatter #TheResistance
👇💙🇺🇸💙👇
@GovSisolak https://t.co/0IV6lbVBgC",hope sweep nevada getoutnvote votebluefordemocracy votebluetoprotectyourrights govenorsmatter justvote pls vote midterms midtermelections women lgbtq blacklivesmatterhispanic elderly veterans youmatter wematter theresistance govsisolak,hope sweep nevada getoutnvot votebluefordemocraci votebluetoprotectyourright govenorsmatt justvot pl vote midterm midtermelect women lgbtq blacklivesmatterhispan elderli veteran youmatt wematt theresist govsisolak,hope sweep nevada getoutnvote votebluefordemocracy votebluetoprotectyourrights govenorsmatter justvote pls vote midterm midtermelections woman lgbtq blacklivesmatterhispanic elderly veteran youmatter wematter theresistance govsisolak,hope_NN sweep_NN nevada_JJ getoutnvote_NN votebluefordemocracy_NN votebluetoprotectyourrights_NNS govenorsmatter_NN justvote_NN pls_JJ vote_NN midterms_NNS midtermelections_NNS women_NNS lgbtq_VBP blacklivesmatterhispanic_JJ elderly_JJ veterans_NNS youmatter_VBP wematter_JJR theresistance_NN govsisolak_NN,1
13,2022-11-07 04:36:45,penndragonArt,"We can hope for a sweep #nevada #getOutNvote #VoteBlueForDemocracy #VoteBlueToProtectYourRights #govenorsMatte
#justVote pls #Vote
#Midterms #MidtermElections #Women #LGBTQ+ #BlackLivesMatter #Hispanic #elderly #Veterans #YouMatter #WeMatter #TheResistance
👇💙🇺🇸💙👇
@GovSisolak https://t.co/0IV6lbVBgC",hope sweep nevada getoutnvote votebluefordemocracy votebluetoprotectyourrights govenorsmatte justvote pls vote midterms midtermelections women lgbtq blacklivesmatterhispanic elderly veterans youmatter wematter theresistance govsisolak,hope sweep nevada getoutnvot votebluefordemocraci votebluetoprotectyourright govenorsmatt justvot pl vote midterm midtermelect women lgbtq blacklivesmatterhispan elderli veteran youmatt wematt theresist govsisolak,hope sweep nevada getoutnvote votebluefordemocracy votebluetoprotectyourrights govenorsmatte justvote pls vote midterm midtermelections woman lgbtq blacklivesmatterhispanic elderly veteran youmatter wematter theresistance govsisolak,hope_NN sweep_NN nevada_JJ getoutnvote_NN votebluefordemocracy_NN votebluetoprotectyourrights_NNS govenorsmatte_VBP justvote_NN pls_JJ vote_NN midterms_NNS midtermelections_NNS women_NNS lgbtq_VBP blacklivesmatterhispanic_JJ elderly_JJ veterans_NNS youmatter_VBP wematter_JJR theresistance_NN govsisolak_NN,1
14,2022-11-07 04:35:36,carlm919,"Pastor Jamal Bryant CALLS Herschel Walker ""Broken Black Man""  While Prai... https://t.co/8grtKfeAlz via @YouTube #WeThePeople #Liberals #Democrats #Socialist #Leftists #redpill #walkaway  #BlacksForTrump #Christian #BlackLivesMatter #maga #BLM",pastor jamal bryant calls herschel walker broken black man prai via youtube wethepeople liberals democrats socialist leftists redpill walkaway blacksfortrump christian blacklivesmatter maga blm,pastor jamal bryant call herschel walker broken black man prai via youtub wethepeopl liber democrat socialist leftist redpil walkaway blacksfortrump christian blacklivesmatt maga blm,pastor jamal bryant call herschel walker broken black man prai via youtube wethepeople liberal democrat socialist leftist redpill walkaway blacksfortrump christian blacklivesmatter maga blm,pastor_NN jamal_JJ bryant_NN calls_VBZ herschel_JJ walker_NN broken_JJ black_JJ man_NN prai_NN via_IN youtube_NN wethepeople_NN liberals_NNS democrats_NNS socialist_VBP leftists_NNS redpill_VBP walkaway_RB blacksfortrump_JJ christian_JJ blacklivesmatter_NN maga_NN blm_NN,0
15,2022-11-07 04:35:28,penndragonArt,"We can hope for a sweep #nevada #getOutNvote #VoteBlueForDemocracy #VoteBlueToProtectYourRights #govenorsMatter #justVote #Research #Vote
#Midterms #MidtermElections #Women #LGBTQ+ #BlackLivesMatter  #Hispanic #elderly #Veterans #YouMatter #WeMatter #TheResistance
👇💙🇺🇸💙👇 https://t.co/0IV6lbVBgC",hope sweep nevada getoutnvote votebluefordemocracy votebluetoprotectyourrights govenorsmatter justvote research vote midterms midtermelections women lgbtq blacklivesmatterhispanic elderly veterans youmatter wematter theresistance,hope sweep nevada getoutnvot votebluefordemocraci votebluetoprotectyourright govenorsmatt justvot research vote midterm midtermelect women lgbtq blacklivesmatterhispan elderli veteran youmatt wematt theresist,hope sweep nevada getoutnvote votebluefordemocracy votebluetoprotectyourrights govenorsmatter justvote research vote midterm midtermelections woman lgbtq blacklivesmatterhispanic elderly veteran youmatter wematter theresistance,hope_NN sweep_NN nevada_JJ getoutnvote_NN votebluefordemocracy_NN votebluetoprotectyourrights_NNS govenorsmatter_VBP justvote_NN research_NN vote_NN midterms_NNS midtermelections_NNS women_NNS lgbtq_VBP blacklivesmatterhispanic_JJ elderly_JJ veterans_NNS youmatter_VBP wematter_JJR theresistance_NN,1
16,2022-11-07 04:32:09,tbasharks,"Sat Aug 15 2020 Pittsburgh, Pennsylvania - Protest marshal abducted by officers in unmarked van WATCH: https://t.co/LHVYUkAALx #PittsburghPennsylvania #PPD #blacklivesmatter #blm #defundthepolice #abolishthepolice",sat aug pittsburgh pennsylvania protest marshal abducted officers unmarked van watch pittsburghpennsylvania ppd blacklivesmatter blm defundthepolice abolishthepolice,sat aug pittsburgh pennsylvania protest marshal abduct offic unmark van watch pittsburghpennsylvania ppd blacklivesmatt blm defundthepolic abolishthepolic,sat aug pittsburgh pennsylvania protest marshal abducted officer unmarked van watch pittsburghpennsylvania ppd blacklivesmatter blm defundthepolice abolishthepolice,sat_JJ aug_NN pittsburgh_NN pennsylvania_NN protest_NN marshal_NN abducted_VBD officers_NNS unmarked_JJ van_JJ watch_NN pittsburghpennsylvania_NN ppd_NN blacklivesmatter_NN blm_NN defundthepolice_NN abolishthepolice_NN,0
17,2022-11-07 04:31:43,COMA387Group3,Why does Google fetishize LGBTQ movements by highlighting BlackLivesMatter?,google fetishize lgbtq movements highlighting blacklivesmatter,googl fetish lgbtq movement highlight blacklivesmatt,google fetishize lgbtq movement highlighting blacklivesmatter,google_NN fetishize_VB lgbtq_JJ movements_NNS highlighting_VBG blacklivesmatter_NN,0
18,2022-11-07 04:31:24,penndragonArt,"#justVote #Research
#Midterms #MidtermElections #Women #LGBTQ+ #BlackLivesMatter #Hispanic #elderly #Veterans #YouMatter #WeMatter #TheResistance #inResistance #muchLove #Midterms2022
👇💙🇺🇸💙👇
#this #itMatters #VOTE #thePeople #truth #VoteBlueIn2022 #jobs #WorkersRights #labor https://t.co/TYbn9tcoK9",justvote research midterms midtermelections women lgbtq blacklivesmatter hispanic elderly veterans youmatter wematter theresistance inresistance muchlove midterms itmatters vote thepeople truth votebluein jobs workersrights labor,justvot research midterm midtermelect women lgbtq blacklivesmatt hispan elderli veteran youmatt wematt theresist inresist muchlov midterm itmatt vote thepeopl truth votebluein job workersright labor,justvote research midterm midtermelections woman lgbtq blacklivesmatter hispanic elderly veteran youmatter wematter theresistance inresistance muchlove midterm itmatters vote thepeople truth votebluein job workersrights labor,justvote_NN research_NN midterms_NNS midtermelections_NNS women_NNS lgbtq_VBP blacklivesmatter_NN hispanic_JJ elderly_JJ veterans_NNS youmatter_VBP wematter_JJR theresistance_NN inresistance_NN muchlove_NN midterms_VBZ itmatters_NNS vote_VBP thepeople_JJ truth_NN votebluein_NN jobs_NNS workersrights_NNS labor_NN,1
19,2022-11-07 04:31:23,Mc_LMG,#BlackTwitter #BlackLivesMatter @votolatino #NativeTwitter @TwitterLatAm https://t.co/ALkmjKaWSZ,blacktwitter blacklivesmatter votolatino nativetwitter twitterlatam,blacktwitt blacklivesmatt votolatino nativetwitt twitterlatam,blacktwitter blacklivesmatter votolatino nativetwitter twitterlatam,blacktwitter_NN blacklivesmatter_NN votolatino_NN nativetwitter_NN twitterlatam_NN,1
20,2022-11-07 04:30:01,penndragonArt,"#justVote #Research
#Midterms #MidtermElections #Women #LGBTQ+ #BlackLivesMatter #Hispanic #elderly #Veterans #YouMatter #WeMatter #TheResistance #inResistance #muchLove #Midterms2022
👇💙🇺🇸💙👇
#this #itMatters #VOTE #thePeople #truth #VoteBlueIn2022 #commonsense #forReal
👇👇 https://t.co/8LDYs7go58 https://t.co/ncivKrtpPA",justvote research midterms midtermelections women lgbtq blacklivesmatterhispanic elderly veterans youmatter wematter theresistance inresistance muchlove midterms itmatters vote thepeople truth votebluein commonsense forreal,justvot research midterm midtermelect women lgbtq blacklivesmatterhispan elderli veteran youmatt wematt theresist inresist muchlov midterm itmatt vote thepeopl truth votebluein commonsens forreal,justvote research midterm midtermelections woman lgbtq blacklivesmatterhispanic elderly veteran youmatter wematter theresistance inresistance muchlove midterm itmatters vote thepeople truth votebluein commonsense forreal,justvote_NN research_NN midterms_NNS midtermelections_NNS women_NNS lgbtq_VBP blacklivesmatterhispanic_JJ elderly_JJ veterans_NNS youmatter_VBP wematter_JJR theresistance_NN inresistance_NN muchlove_NN midterms_VBZ itmatters_NNS vote_VBP thepeople_JJ truth_NN votebluein_NN commonsense_NN forreal_NN,1
21,2022-11-07 04:25:04,carlm919,Woke Democrat Gets Laughed At During Debate After She Can't Answer Simpl... https://t.co/CEguETKCYM via @YouTube #WeThePeople #Liberals #Democrats #Socialist #Leftists #redpill #walkaway  #BlacksForTrump #Christian #BlackLivesMatter #maga #BLM,woke democrat gets laughed debate cant answer simpl via youtube wethepeople liberals democrats socialist leftists redpill walkaway blacksfortrump christian blacklivesmatter maga blm,woke democrat get laugh debat cant answer simpl via youtub wethepeopl liber democrat socialist leftist redpil walkaway blacksfortrump christian blacklivesmatt maga blm,woke democrat get laughed debate cant answer simpl via youtube wethepeople liberal democrat socialist leftist redpill walkaway blacksfortrump christian blacklivesmatter maga blm,woke_NN democrat_NN gets_VBZ laughed_JJ debate_NN cant_NN answer_NN simpl_NN via_IN youtube_NN wethepeople_NN liberals_NNS democrats_NNS socialist_VBP leftists_NNS redpill_VBP walkaway_RB blacksfortrump_JJ christian_JJ blacklivesmatter_NN maga_NN blm_NN,0
22,2022-11-07 04:24:20,tryagain1motime,#IStandWithKyrie - he apologized over &amp; over 4 a book he didn’t even write - why isn’t the focus on where you can buy a book so digusting &amp; anti semetic #Amazon #JeffBezos - oh I get it - Kyrie’s the scapegoat #NBA - go where the real problem is!! #RacismIsReal #BlackLivesMatter,istandwithkyrie apologized amp book even write focus buy book digusting amp anti semetic amazon jeffbezos oh get kyrie 's scapegoat nba go real problem racismisreal blacklivesmatter,istandwithkyri apolog amp book even write focu buy book digust amp anti semet amazon jeffbezo oh get kyri 's scapegoat nba go real problem racismisr blacklivesmatt,istandwithkyrie apologized amp book even write focus buy book digusting amp anti semetic amazon jeffbezos oh get kyrie 's scapegoat nba go real problem racismisreal blacklivesmatter,istandwithkyrie_NN apologized_VBD amp_JJ book_NN even_RB write_JJ focus_NN buy_VB book_NN digusting_VBG amp_JJ anti_JJ semetic_JJ amazon_NN jeffbezos_NN oh_UH get_VB kyrie_NN 's_POS scapegoat_NN nba_RB go_VBP real_JJ problem_NN racismisreal_NN blacklivesmatter_NN,0
23,2022-11-07 04:18:25,KingMeekFreeman,"$KingMeekFreeman ... Looking for donations for legal fees.

#wrongfullyconvicted #BlackLivesMatter #blackjew https://t.co/ePg1eFl3qq",kingmeekfreeman looking donations legal fees wrongfullyconvicted blacklivesmatter blackjew,kingmeekfreeman look donat legal fee wrongfullyconvict blacklivesmatt blackjew,kingmeekfreeman looking donation legal fee wrongfullyconvicted blacklivesmatter blackjew,kingmeekfreeman_NN looking_VBG donations_NNS legal_JJ fees_NNS wrongfullyconvicted_VBD blacklivesmatter_NN blackjew_NN,0
24,2022-11-07 04:16:23,BotDefund,Defund the #SouthCanaanPolice #BlackLivesMatter,defund southcanaanpolice blacklivesmatter,defund southcanaanpolic blacklivesmatt,defund southcanaanpolice blacklivesmatter,defund_NN southcanaanpolice_NN blacklivesmatter_NN,0
25,2022-11-07 04:15:33,ScarletIceCree,"My friend @god_loves_zea moved to Hawaii and has been experiencing racism. This post is to expose this racist.
#racist #racism #exposed #cancelled #BlackLivesMatter #BLM https://t.co/EbugLcpgE8",friend godloveszea moved hawaii experiencing racism post expose racist racist racism exposed cancelled blacklivesmatter blm,friend godloveszea move hawaii experienc racism post expos racist racist racism expos cancel blacklivesmatt blm,friend godloveszea moved hawaii experiencing racism post expose racist racist racism exposed cancelled blacklivesmatter blm,friend_NN godloveszea_NN moved_VBD hawaii_JJ experiencing_VBG racism_NN post_NN expose_JJ racist_NN racist_NN racism_NN exposed_VBD cancelled_JJ blacklivesmatter_NN blm_NN,0
26,2022-11-07 04:14:34,Mc_LMG,#BlackLivesMatter #BlackTwitter @TwitterLatAm @votolatino #NativeTwitter https://t.co/JN6CPT9Jiy,blacklivesmatter blacktwitter twitterlatam votolatino nativetwitter,blacklivesmatt blacktwitt twitterlatam votolatino nativetwitt,blacklivesmatter blacktwitter twitterlatam votolatino nativetwitter,blacklivesmatter_NN blacktwitter_NN twitterlatam_NN votolatino_NN nativetwitter_NN,1
27,2022-11-07 04:14:15,Buddha_Inked,"Goodnight, nerds! 

And remember:
- Monkeypox is not an STI
- No K12 teacher has ever taught critical race theory
- Pronouns are part of language and are taught in Kindergarten 
- Reverse racism isn't real

#BlackLivesMatter #TransRightsAreHumanRights 🏳️‍🌈 #WearAMask 😷",goodnight nerds remember monkeypox sti k teacher ever taught critical race theory pronouns part language taught kindergarten reverse racism isnt real blacklivesmatter transrightsarehumanrights wearamask,goodnight nerd rememb monkeypox sti k teacher ever taught critic race theori pronoun part languag taught kindergarten revers racism isnt real blacklivesmatt transrightsarehumanright wearamask,goodnight nerd remember monkeypox sti k teacher ever taught critical race theory pronoun part language taught kindergarten reverse racism isnt real blacklivesmatter transrightsarehumanrights wearamask,goodnight_NN nerds_NNS remember_VB monkeypox_NNS sti_VB k_NN teacher_IN ever_RB taught_JJ critical_JJ race_NN theory_NN pronouns_NNS part_NN language_NN taught_VBD kindergarten_JJ reverse_JJ racism_NN isnt_JJ real_JJ blacklivesmatter_NN transrightsarehumanrights_NNS wearamask_NN,0
28,2022-11-07 04:12:03,say_the_names,Walter Scott #BlackLivesMatter,walter scott blacklivesmatter,walter scott blacklivesmatt,walter scott blacklivesmatter,walter_NN scott_NN blacklivesmatter_NN,1
29,2022-11-07 04:10:54,forcemajeure5,@JustinTrudeau #BlackLivesMatter #africancanadian #racistpolice #racismeaucanada @CanadianPM https://t.co/KebSdtJJOR,justintrudeau blacklivesmatter africancanadian racistpolice racismeaucanada canadianpm,justintrudeau blacklivesmatt africancanadian racistpolic racismeaucanada canadianpm,justintrudeau blacklivesmatter africancanadian racistpolice racismeaucanada canadianpm,justintrudeau_NN blacklivesmatter_NN africancanadian_JJ racistpolice_NN racismeaucanada_NN canadianpm_NN,1
30,2022-11-07 04:05:55,Sam52160989,Malice Green   #SayTheirNames #BlackLivesMatter,malice green saytheirnames blacklivesmatter,malic green saytheirnam blacklivesmatt,malice green saytheirnames blacklivesmatter,malice_NN green_JJ saytheirnames_NNS blacklivesmatter_NN,1
31,2022-11-07 04:01:19,haderahadusha,#Tigrayanlivesmatter #BlackLivesMatter    #Tigray #StopTigrayGenocide #EndTigraySiege #EritreaOutOfTigray #ChildrenOfTigray #Ethiopia @haderahadusha https://t.co/fBFIiZJmMx,tigrayanlivesmatter blacklivesmatter tigray stoptigraygenocide endtigraysiege eritreaoutoftigray childrenoftigray ethiopia haderahadusha,tigrayanlivesmatt blacklivesmatt tigray stoptigraygenocid endtigraysieg eritreaoutoftigray childrenoftigray ethiopia haderahadusha,tigrayanlivesmatter blacklivesmatter tigray stoptigraygenocide endtigraysiege eritreaoutoftigray childrenoftigray ethiopia haderahadusha,tigrayanlivesmatter_NN blacklivesmatter_NN tigray_NN stoptigraygenocide_JJ endtigraysiege_NN eritreaoutoftigray_NN childrenoftigray_NN ethiopia_NN haderahadusha_NN,1
32,2022-11-07 04:01:13,Charles92147784,KABA HIAWATHA KAMENE #cutthecheck #ReparationsNow #reparations #blackhistory #BlackLivesMatter #kabahiawathakamene #art https://t.co/rwVgEnv4OL,kaba hiawatha kamene cutthecheck reparationsnow reparations blackhistory blacklivesmatter kabahiawathakamene art,kaba hiawatha kamen cutthecheck reparationsnow repar blackhistori blacklivesmatt kabahiawathakamen art,kaba hiawatha kamene cutthecheck reparationsnow reparation blackhistory blacklivesmatter kabahiawathakamene art,kaba_NN hiawatha_NN kamene_NN cutthecheck_NN reparationsnow_VBP reparations_NNS blackhistory_JJ blacklivesmatter_NN kabahiawathakamene_VBD art_NN,1
33,2022-11-07 04:00:41,LostCityCafe,@mmpadellan Yes!! @mmpadellan  we need to murder more babies!! #BlackLivesMatter …. Except when it’s inside the womb. 🤔,mmpadellan yes mmpadellan need murder babies blacklivesmatter except 's inside womb,mmpadellan ye mmpadellan need murder babi blacklivesmatt except 's insid womb,mmpadellan yes mmpadellan need murder baby blacklivesmatter except 's inside womb,mmpadellan_JJ yes_UH mmpadellan_NN need_MD murder_VB babies_NNS blacklivesmatter_VBP except_IN 's_POS inside_JJ womb_NN,0
34,2022-11-07 04:00:01,OldMainBell,ding &amp; ding DING ding. DING* DING &amp; ding^ DING^ DING. ding &amp; DING? #PennState #BlackLivesMatter #JusticeForAll,ding amp ding ding ding ding ding amp ding ding ding ding amp ding pennstate blacklivesmatter justiceforall,ding amp ding ding ding ding ding amp ding ding ding ding amp ding pennstat blacklivesmatt justiceforal,ding amp ding ding ding ding ding amp ding ding ding ding amp ding pennstate blacklivesmatter justiceforall,ding_VBG amp_RP ding_VBG ding_VBG ding_VBG ding_VBG ding_VBG amp_JJ ding_VBG ding_VBG ding_VBG ding_VBG amp_JJ ding_VBG pennstate_NN blacklivesmatter_NN justiceforall_NN,1
